# Crimson Skies - IDA FLIRT-identified names (347 functions, VC6/MFC42/std/ATL)
# Format: 0xADDRESS name  -- adopt the non-CRT ones into functions.json
# Regenerate: tools/crimson_gap.py, then export the ida_name column of
#             crimson_ida_names.csv (see handoffs/crimsonskies.md).
0x004012B0 CompareFunction
0x00402FE0 ??0CMFCToolBarInfo@@QAE@XZ
0x00422710 ?do_always_noconv@codecvt_base@std@@MBE_NXZ
0x004238F0 ?try_get_CompareStringEx@@YAP6GHPB_WK0H0HPAU_nlsversioninfo@@PAXJ@ZXZ
0x00427460 ??_GCComboBox@@UAEPAXI@Z
0x00427480 ??_GCDialog@@UAEPAXI@Z
0x00428120 ??1ios_base@std@@UAE@XZ
0x00428B10 ??_Gios_base@std@@UAEPAXI@Z
0x0042AE60 ?ResetCursor@CDaoRecordset@@QAEXXZ
0x004300B0 ?ReleaseAttribDC@CDC@@UAEXXZ
0x004321A0 ??_GCListBox@@UAEPAXI@Z
0x0043D5E0 ??_GCTabCtrl@@UAEPAXI@Z
0x00444E40 ??_GCStatic@@UAEPAXI@Z
0x00444E60 ??_GCButton@@UAEPAXI@Z
0x0044A3B0 ?SetOutputDC@CDC@@UAEXPAUHDC__@@@Z
0x0044BA70 ??1ios_base@std@@UAE@XZ_0
0x004563D0 ___acrt_locale_changed
0x00461120 ??0Iostream_init@@QAE@XZ
0x00461200 ?SetOutputDC@CDC@@UAEXPAUHDC__@@@Z_0
0x00465790 StartAddress
0x0046C540 ?SetContainer@MvcVisualPart@@UAEXPAV1@@Z
0x00470C20 ?classic@locale@std@@SAABV12@XZ_1
0x00485FE0 ??1?$CAtlArray@PAXV?$CElementTraits@PAX@ATL@@@ATL@@QAE@XZ
0x00489460 __cfltcvt_init_0
0x0049C7D0 ?SetContainer@MvcVisualPart@@UAEXPAV1@@Z_0
0x004A5A50 ?do_always_noconv@codecvt_base@std@@MBE_NXZ_1
0x004B4380 ??0Iostream_init@@QAE@XZ_1
0x004B6480 ?do_always_noconv@codecvt_base@std@@MBE_NXZ_2
0x004B9670 ??0Iostream_init@@QAE@XZ_2
0x004BF930 ?ResetCursor@CDaoRecordset@@QAEXXZ_0
0x004C75B0 DirectSoundCreate
0x004C75B6 ?reset@CImmDXDevice@@MAEXXZ
0x004C75BC ?prepare_device@CImmDevice@@MAEHXZ
0x004C75C2 ?SwitchToAbsoluteMode@CImmDevice@@UAEHH@Z
0x004C75C8 ?ChangeScreenResolution@CImmDevice@@UAEHHKK@Z
0x004C75CE ?GetDevice@CImmDXDevice@@UAEPAUIFeelitDevice@@XZ
0x004C75D4 ?GetAPI@CImmDXDevice@@UAEPAUIFeelit@@XZ
0x00533060 ??0_ReaderWriterLock@details@Concurrency@@QAE@XZ
0x00536030 ___toascii
0x005390F0 UserMathErrorFunction
0x00539250 __Getcvt
0x00539260 __Getcvt_0
0x0053C0E0 __Getcvt_1
0x0054E610 __cfltcvt_init_15
0x0057C580 __ioterm
0x00597590 ___acrt_locale_changed_0
0x0059CBB0 GetTickCount
0x0059ECFF ?Win95IsDebuggerPresent@@YGHXZ
0x0059F76E ?Win95IsDebuggerPresent@@YGHXZ_0
0x005A02B0 Callback
0x005AB360 ?Win95IsDebuggerPresent@@YGHXZ_1
0x005B23F0 ?classic@locale@std@@SAABV12@XZ_3
0x005B6860 ?__CxxSetUnhandledExceptionFilter@@YAXXZ
0x005BD8F0 ImmGetVirtualKey
0x005BE554 ?AfxGetStaticModuleState@@YGPAVAFX_MODULE_STATE@@XZ
0x005BE566 ?AfxGetStaticModuleState@@YGPAVAFX_MODULE_STATE@@XZ_0
0x005BE5B9 ?AfxGetStaticModuleState@@YGPAVAFX_MODULE_STATE@@XZ_1
0x005BEEB0 _DllMain@12
0x005BFDB0 ??__F?m_badAllocExceptionPtr@__ExceptionPtr@@0V?$shared_ptr@V__ExceptionPtr@@@tr1@std@@A@@YAXXZ
