# IDA Pro 9.1 recovered symbol names for SLPS_017.62 (503 functions)
# Format: 0xADDRESS name  -- merge into config/pepsiman_symbols.txt as needed
0x8001316C main
0x80042C50 __main
0x80042C58 start
0x80042D14 __floatsidf
0x80042E34 _dbl_shift_us
0x80042EF4 __ltdf2
0x80042FD4 __muldf3
0x800432E8 _mul_mant_d
0x800433D4 _add_mant_d
0x80043484 _err_math
0x80043670 SsSeqClose
0x80043694 SsSepClose
0x80043764 SsInit
0x800437A4 SpuInit
0x800437C4 _SpuInit
0x800438AC SpuStart
0x80043924 _spu_init
0x80043D64 _spu_FiDMA
0x80043E20 _spu_Fr_
0x80043EC8 _spu_t
0x80044148 _spu_Fw
0x800441CC _spu_Fr
0x80044230 _spu_FsetRXX
0x80044274 _spu_FsetRXXa
0x800443FC _spu_Fw1ts
0x80044464 _SpuDataCallback
0x80044494 SpuClearReverbWorkArea
0x800446B4 _SpuIsInAllocateArea_
0x80044784 SsIsEos
0x80044A54 _SsContBankChange
0x80044AD4 _SsContDataEntry
0x80044E54 _SsContMainVol
0x80044F24 _SsContPanpot
0x80044FF4 _SsContExpression
0x800450E4 _SsContDamper
0x80045194 _SsContExternal
0x80045224 _SsContNrpn1
0x80045324 _SsContNrpn2
0x80045464 _SsContRpn1
0x800454D4 _SsContRpn2
0x80045544 _SsContResetAll
0x80045604 _SsSetNrpnVabAttr0
0x80045694 _SsSetNrpnVabAttr1
0x80045754 _SsSetNrpnVabAttr2
0x800457E4 _SsSetNrpnVabAttr3
0x80045874 _SsSetNrpnVabAttr4
0x80045924 _SsUtResolveADSR
0x80045980 _SsUtBuildADSR
0x80045A24 _SsSetNrpnVabAttr5
0x80045AE4 _SsSetNrpnVabAttr6
0x80045B94 _SsSetNrpnVabAttr7
0x80045C44 _SsSetNrpnVabAttr8
0x80045CF4 _SsSetNrpnVabAttr9
0x80045DB4 _SsSetNrpnVabAttr10
0x80045E64 _SsSetNrpnVabAttr11
0x80045F14 _SsSetNrpnVabAttr12
0x80045FF4 _SsSetNrpnVabAttr13
0x80046094 _SsSetNrpnVabAttr14
0x80046134 _SsSetNrpnVabAttr15
0x80046164 _SsSetNrpnVabAttr16
0x80046194 _SsSetNrpnVabAttr17
0x800461C4 unknown_libname_2
0x800461F4 unknown_libname_3
0x80046224 _SsSetPitchBend
0x800462D4 _SsSetControlChange
0x80046504 _SsGetMetaEvent
0x800466D4 _SsNoteOn
0x800467B4 _SsSetProgramChange
0x80046824 _SsReadDeltaValue
0x800468D4 _SsInitSoundSeq
0x80046C24 SsSeqPlay
0x80046C5C SsSepPlay
0x80046CA4 Snd_SetPlayMode
0x80046DC4 SsSetSerialAttr
0x80046E84 SpuSetCommonAttr
0x80047204 SsSetMVol
0x80047254 SsSetRVol
0x800472E4 SpuSetReverbDepth
0x80047594 SsStart
0x800475B4 SsStart2
0x80047674 SsSeqCalledTbyT
0x800478E4 _SsSndCrescendo
0x80047AF4 _SsSndPause
0x80047B94 _SsSndPlay
0x80047BC4 _SsSeqPlay
0x80047CC0 _SsSeqGetEof
0x80047F04 _SsGetSeqData
0x800482B4 _SsSndNextSep
0x800483B4 _SsSndReplay
0x80048414 _SsSndStop
0x80048594 SsSeqStop
0x800485BC SsSepStop
0x800485F4 SsSetSerialVol
0x80048704 SsSetTableSize
0x80048924 SsSetTickMode
0x80048A74 _SsSndSetVol
0x80048B04 SsSeqSetVol
0x80048B6C SsSepSetVol
0x80048BFC SsSeqGetVol
0x80048C34 _SsSndTempo
0x80048E54 SsUtGetProgAtr
0x80048F64 SsUtGetVagAtr
0x800491A4 SsUtSetReverbDelay
0x800491E4 SpuSetReverbModeParam
0x800496C4 _spu_setReverbAttr
0x80049B94 SsUtSetReverbDepth
0x80049C24 SsUtSetReverbType
0x80049CC0 SsUtGetReverbType
0x80049CD4 SpuSetReverb
0x80049DA4 SsUtSetReverbFeedback
0x80049DE4 SsUtReverbOff
0x80049E04 SsUtReverbOn
0x80049E24 SsUtSetVagAtr
0x80049FF4 _SsVmDamperOff
0x8004A004 _SsVmDamperOn
0x8004A014 _SsVmFlush
0x8004A4A4 SpuSetNoiseVoice
0x8004A4D4 _SpuSetAnyVoice
0x8004A794 SpuSetReverbVoice
0x8004A7C4 SpuSetKey
0x8004A984 SpuSetVoiceAttr
0x8004AF84 _spu_note2pitch
0x8004B184 SpuGetVoiceEnvelope
0x8004B1A4 _SsVmInit
0x8004B4F4 SpuInitMalloc
0x8004B554 _spu_setInTransfer
0x8004B57C _spu_getInTransfer
0x8004B594 _SsVmKeyOn
0x8004BD44 _SsVmSeKeyOff
0x8004C364 vmNoiseOn
0x8004C964 _SsVmKeyOffNow
0x8004D1C4 _SsVmSetProgVol
0x8004D234 _SsVmGetProgVol
0x8004D284 _SsVmSetProgPan
0x8004D2F4 _SsVmGetProgPan
0x8004DA54 _SsVmSelectToneAndVag
0x8004DB24 _SsVmSetVol
0x8004E254 SpuFree
0x8004E2D4 _spu_gcSPU
0x8004E5D4 SsVabOpenHead
0x8004E674 SpuMalloc
0x8004E944 SsVabOpenHeadSticky
0x8004E978 SsVabFakeHead
0x8004E9B4 _SsVabOpenHeadWithMode
0x8004EDA4 SsVabTransBody
0x8004EE64 SpuWrite
0x8004EEC4 SpuSetTransferStartAddr
0x8004EF24 SpuSetTransferMode
0x8004EF54 SsVabTransCompleted
0x8004EF84 SpuIsTransferCompleted
0x8004F034 VSync
0x8004F244 ResetCallback
0x8004F274 InterruptCallback
